Voltage,Current,Temperature,Charge Capacity,Internal Resistance,Age in Cycles,State of Charge,Discharge Time,Charge Time,Fault
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
